model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
KNN,10,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
svm,10,0.718,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.727,0.718,0.699,0.675,0.374
random_forest,10,0.966,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.966,0.966,0.966,0.96,0.928
DT,10,0.821,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3}",0.82,0.821,0.82,0.813,0.627
LDShrink,11,0.678,"{'n_components': 1, 'solver': 'lsqr'}",0.677,0.678,0.657,0.635,0.288
LDSVD,11,0.686,"{'n_components': 1, 'store_covariance': True}",0.687,0.686,0.665,0.642,0.304
XGB,11,0.992,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",0.992,0.992,0.992,0.99,0.984
NB,11,0.573,"{'priors': None, 'var_smoothing': 1e-09}",0.672,0.573,0.555,0.618,0.211
KNN,11,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
svm,11,0.723,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.735,0.723,0.703,0.68,0.385
random_forest,11,0.889,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.893,0.889,0.887,0.873,0.765
DT,11,0.749,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4}",0.758,0.749,0.751,0.751,0.491
LDShrink,12,0.678,"{'n_components': 1, 'solver': 'lsqr'}",0.677,0.678,0.657,0.635,0.288
LDSVD,12,0.686,"{'n_components': 1, 'store_covariance': True}",0.687,0.686,0.665,0.642,0.304
XGB,12,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0
NB,12,0.573,"{'priors': None, 'var_smoothing': 1e-09}",0.672,0.573,0.555,0.618,0.211
