model;variable_count;test_accuracy;test_params;test_precision;test_recall;test_f1;test_roc_auc;test_kappa
KNN;3;0,663;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'};0,653;0,663;0,655;0,62;0,249
NB;4;0,663;{'priors': None, 'var_smoothing': 1e-09};0,647;0,663;0,62;0,579;0,178
DT;8;0,663;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2};0,659;0,663;0,661;0,632;0,267
LDShrink;3;0,653;{'n_components': 1, 'solver': 'lsqr'};0,686;0,653;0,55;0,535;0,085
LDSVD;3;0,653;{'n_components': 1, 'store_covariance': True};0,686;0,653;0,55;0,535;0,085
random_forest;3;0,653;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 100};0,632;0,653;0,625;0,582;0,18
DT;4;0,653;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3};0,647;0,653;0,649;0,618;0,24
DT;5;0,653;{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4};0,689;0,653;0,659;0,665;0,307
KNN;8;0,653;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'};0,664;0,653;0,657;0,642;0,275
NB;3;0,642;{'priors': None, 'var_smoothing': 1e-09};0,614;0,642;0,588;0,55;0,115
svm;4;0,642;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,616;0,642;0,568;0,538;0,09
DT;3;0,632;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2};0,608;0,632;0,608;0,565;0,142
svm;3;0,621;{'C': 1000, 'degree': 3, 'kernel': 'poly'};0,521;0,621;0,501;0,498;-0,006
NB;7;0,579;{'priors': None, 'var_smoothing': 1e-09};0,619;0,579;0,586;0,589;0,165
NB;8;0,579;{'priors': None, 'var_smoothing': 1e-09};0,671;0,579;0,578;0,625;0,216
NB;10;0,579;{'priors': None, 'var_smoothing': 1e-09};0,66;0,579;0,58;0,619;0,208
NB;9;0,568;{'priors': None, 'var_smoothing': 1e-09};0,653;0,568;0,568;0,611;0,193
NB;11;0,568;{'priors': None, 'var_smoothing': 1e-09};0,664;0,568;0,566;0,617;0,201
NB;12;0,558;{'priors': None, 'var_smoothing': 1e-09};0,657;0,558;0,554;0,608;0,186
NB;13;0,547;{'priors': None, 'var_smoothing': 1e-09};0,65;0,547;0,542;0,6;0,171
;;;;;;;;
;;0,884;;;;;;
