hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
BAGFS;1.02;0.56;0.42;44.46;72.91;0.6;3.76;5.6;18.32;19.7;9.38;20.25;32.48;0
AYGAZ;1.06;0.89;0.45;25.18;49.99;2.05;30.26;5.49;9.37;4.66;2.68;10.98;20.18;1
ALKIM;3.42;2.44;1.34;9.41;23.63;1.34;4.25;25.51;29.08;24.57;19.02;37.15;46.01;1
AKSA;1.05;0.73;0.31;38.07;63.34;0.87;5.23;6.63;17;15.73;7.62;18.62;44.99;1
KONKA;1.98;1.45;0.16;18.98;34.87;0.48;3.8;2.23;19.22;12.28;4.67;12.54;13.58;0
TEZOL;3.53;2.51;1.06;17.83;29.65;1.4;5.34;25.05;31.01;23.07;17.95;37.87;41.18;1
TIRE;0.93;0.73;0.02;35.69;67.53;1.25;7.14;-1.96;14.8;6.23;-1.57;-6.29;12.08;1
KARTN;4.02;2.26;1.19;0.81;16.9;1.42;5.18;15.69;16.82;15.19;11.03;18.84;24.08;0
SARKY;1.35;0.87;0.07;53.01;72.85;2.92;10.44;4.49;4.44;3.4;1.54;15.63;23.89;0
KRDMD;1.06;0.5;0.08;21.68;57;0.7;3.26;0.93;9.01;10.71;1.33;2.02;10.01;1
ISDMR;3.32;1.96;0.02;8.42;25.12;0.77;3.35;10.12;17.33;19.64;13.1;13.51;9.57;1
EREGL;2.55;1.57;1.13;16.5;33.05;0.62;2.46;7.5;18.25;19.87;12.08;11.31;11.22;1
ERBOS;2.06;1.33;0.67;23.06;44.3;1.16;3.47;12.61;15.43;9.55;10.85;21.69;25.45;0
CEMTS;7.8;5.14;2.95;5.23;14.82;1.27;3.92;10.37;12.91;8.41;8.15;12.55;9.09;0
VESTL;0.66;0.46;0.16;40.15;80.57;0.92;4.53;1.73;24.91;13.6;1.89;9.37;-48.14;1
VESBE;1.06;0.84;0.04;16.12;63.76;1.44;9.93;11.75;12.7;13.23;8.15;31.4;41.69;1
ARCLK;1.58;1.19;0.47;43.06;71.74;1.01;4.05;2.93;32.12;10.45;2.9;10.37;31.53;1
KUTPO;3.45;1.63;0.11;8.44;27.86;0.81;1.48;9.07;41;12.68;11.17;12.39;6.67;0
EGSER;2.46;1.43;0.15;3.31;32.46;0.86;2.76;5.29;23.53;8.5;6.14;7.52;8.41;0
KOZAL;13.01;12.08;10.97;0.07;9.3;0.53;2.78;33.08;66.47;63.98;62.03;36.27;105.59;1
KOZAA;12.22;11.31;10.69;0.07;9.39;0.51;2.85;13.99;64.69;61.93;27.22;32.12;118.18;1
IPEKE;12.18;11.27;10.68;0.07;9.39;0.51;2.87;7.12;64.52;61.94;13.88;35.51;117.21;1
KRVGD;1.22;0.77;0.02;39.14;59.36;1.17;4.14;12.79;30.6;18.11;10.92;36.5;37.61;0
ULKER;1.28;1.2;0.75;46.44;61.43;0.67;9.46;7.72;27.41;16.71;11.6;23.49;67.1;1
TUKAS;1.36;0.52;0;50.14;65.24;0.9;1.86;15.04;28.43;24.88;16.72;47.12;57.22;1
TATGD;2.84;1.61;0.04;22.18;45.38;1.21;3.11;7;21.48;9.38;5.79;12.46;12;1
DARDL;0.43;0.33;0.04;158.88;260.51;3.88;13.86;3.98;31.03;11.86;1.03;-1.92;-34.48;1
CCOLA;1.55;1.3;0.83;34.41;53.83;0.82;9.6;6.44;34.35;18.78;7.89;15.92;22.5;1
AEFES;1.33;1.09;0.65;22.96;47.4;0.55;6.92;2.41;37.67;16.4;4.38;8.43;16.74;1
TRILC;0.89;0.81;0.01;42.4;75.56;0.67;7.7;5.9;46.02;33;8.86;21.11;48.73;0
MEDTR;2.27;1.76;0.08;18.56;42.56;1.1;3.51;6.01;39.77;19.3;5.49;20.9;21.34;0
KERVT;2.47;1.8;0.02;2.73;64.51;0.87;4.82;4.78;24.61;15.22;5.53;20.32;15.39;1
BLCYT;3.53;2.27;0.36;5.67;15.16;0.72;3.38;18.12;33.98;32.41;25.13;37.9;31.18;0
THYAO;0.8;0.75;0.42;54.08;72.22;0.59;45.57;3.54;17.41;15.97;6.04;12.58;3.95;1
TCELL;1.53;1.51;0.84;44.42;60.44;0.54;93.73;7.34;33.56;44.78;13.53;19.11;48.11;1
TRGYO;0.9;0.4;0.33;36.33;38.21;0.08;0.26;6.66;68.89;61.19;87.36;10.76;-71.09;1
