,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
72,0.0035840988159179686,0.00181390882153821,0.009917020797729492,0.000919650387695217,gini,6,log2,1,2,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6799283154121863,0.5960573476702509,0.6534050179211469,0.6960573476702508,0.62,0.649089605734767,0.03697091596552714,87,0.9216124661246613,0.8927055103884372,0.8550361336946702,0.9067976513098465,0.9083109318996416,0.8968925386834513,0.022843185491554837,0.6973684210526315,0.5789473684210527,0.6447368421052632,0.6973684210526315,0.6,0.6436842105263157,0.04871194089333297,68,0.8382838283828383,0.8085808580858086,0.7722772277227723,0.8283828382838284,0.8453947368421053,0.8185838978634706,0.02625755543412541,0.6896551724137931,0.6585365853658537,0.6956521739130435,0.7391304347826086,0.7142857142857143,0.6994520161522028,0.026754083538913162,65,0.8104265402843602,0.8080808080808081,0.8323353293413174,0.8478260869565217,0.9235668789808917,0.8444471287287799,0.042185205081021464,0.8888888888888888,0.6,0.7111111111111111,0.7555555555555555,0.5555555555555556,0.7022222222222222,0.11809182449410151,125,0.95,0.8888888888888888,0.7722222222222223,0.8666666666666667,0.8055555555555556,0.8566666666666667,0.06259807120445895,0.7766990291262136,0.627906976744186,0.7032967032967032,0.7472527472527473,0.6250000000000001,0.69603109128397,0.061433011100945865,109,0.8746803069053708,0.8465608465608466,0.8011527377521614,0.8571428571428571,0.8605341246290802,0.8480141745980634,0.025096896348591868
73,0.0023078441619873045,0.0003904135907750819,0.009809255599975586,0.0012359821316454784,gini,6,log2,1,3,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.6010752688172043,0.6698924731182796,0.731899641577061,0.8017921146953406,0.6477777777777778,0.6904874551971327,0.06978037734508265,9,0.8574751580849143,0.9080849141824752,0.8971544715447154,0.9486675700090335,0.8535394265232975,0.8929843080688871,0.035107955341881394,0.618421052631579,0.618421052631579,0.6973684210526315,0.7763157894736842,0.6133333333333333,0.6647719298245613,0.06394888694560698,20,0.7920792079207921,0.8448844884488449,0.8118811881188119,0.8679867986798679,0.7796052631578947,0.8192873892652424,0.03285316436461434,0.6379310344827587,0.6818181818181818,0.7391304347826086,0.8181818181818182,0.6739130434782609,0.7101949025487256,0.06299542392664814,32,0.7671232876712328,0.8481675392670157,0.8153846153846154,0.9216867469879518,0.798941798941799,0.8302607976505229,0.05266475339898681,0.8222222222222222,0.6666666666666666,0.7555555555555555,0.8,0.6888888888888889,0.7466666666666667,0.0606141408754927,61,0.9333333333333333,0.9,0.8833333333333333,0.85,0.8388888888888889,0.8811111111111112,0.034174569998288225,0.7184466019417477,0.6741573033707865,0.7472527472527473,0.8089887640449439,0.6813186813186812,0.7260328195857813,0.04915271730634456,20,0.8421052631578947,0.8733153638814016,0.848,0.884393063583815,0.8184281842818428,0.8532483749809907,0.023395878838223808
74,0.0030087947845458983,0.0010212476465875078,0.009407424926757812,0.0014876893355310979,gini,6,log2,1,4,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4}",0.6759856630824372,0.6326164874551972,0.6390681003584229,0.5756272401433691,0.624074074074074,0.6294743130227001,0.03223007768641263,135,0.9231481481481482,0.8867886178861789,0.9144308943089431,0.8695121951219513,0.8958557347670252,0.8979471180464493,0.019205403664745168,0.6447368421052632,0.5526315789473685,0.618421052631579,0.5657894736842105,0.6666666666666666,0.6096491228070176,0.04412202224547119,163,0.8316831683168316,0.7920792079207921,0.8316831683168316,0.7887788778877888,0.8092105263157895,0.8106869897516068,0.018493641518444553,0.6956521739130435,0.6666666666666666,0.7105263157894737,0.65,0.717391304347826,0.6880472921434019,0.025802865609408834,99,0.9271523178807947,0.920863309352518,0.864406779661017,0.8866666666666667,0.8315217391304348,0.8861221625382862,0.03561876332487486,0.7111111111111111,0.4888888888888889,0.6,0.5777777777777777,0.7333333333333333,0.6222222222222221,0.08999314102807372,211,0.7777777777777778,0.7111111111111111,0.85,0.7388888888888889,0.85,0.7855555555555556,0.05672110674711206,0.7032967032967032,0.5641025641025641,0.6506024096385543,0.6117647058823529,0.7252747252747253,0.65100822163898,0.05889382038975796,201,0.8459214501510574,0.8025078369905956,0.8571428571428572,0.8060606060606061,0.8406593406593408,0.8304584182008913,0.022053170678923442
75,0.002804088592529297,0.0003999789384538747,0.009290599822998047,0.0014525423077473784,gini,6,log2,2,2,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.646594982078853,0.6591397849462366,0.717921146953405,0.6146953405017921,0.6737037037037037,0.6624109916367982,0.033901424760286535,53,0.9082881662149955,0.8544489611562783,0.893044263775971,0.8923667570009034,0.897334229390681,0.8890964755077657,0.018236839667162285,0.6710526315789473,0.5921052631578947,0.6973684210526315,0.6052631578947368,0.6533333333333333,0.6438245614035087,0.039649961177287654,63,0.8283828382838284,0.7986798679867987,0.8184818481848185,0.8052805280528053,0.805921052631579,0.8113492270279659,0.010656688416442881,0.6666666666666666,0.6666666666666666,0.75,0.6829268292682927,0.7111111111111111,0.6954742547425474,0.031732508002056625,76,0.8137254901960784,0.8695652173913043,0.8205128205128205,0.8379888268156425,0.8711656441717791,0.8425915998175249,0.024024830302607575,0.8888888888888888,0.6222222222222222,0.7333333333333333,0.6222222222222222,0.7111111111111111,0.7155555555555556,0.09777777777777776,98,0.9222222222222223,0.7777777777777778,0.8888888888888888,0.8333333333333334,0.7888888888888889,0.8422222222222222,0.0559541258311741,0.761904761904762,0.6436781609195403,0.7415730337078651,0.6511627906976744,0.7111111111111111,0.7018859716681906,0.04737807845926697,86,0.8645833333333334,0.8211143695014663,0.8533333333333333,0.8356545961002785,0.8279883381924198,0.8405347940921661,0.016127725355480342
76,0.003108787536621094,0.0013771188175946316,0.010910415649414062,0.002677821468570699,gini,6,log2,2,3,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3}",0.6154121863799283,0.5648745519713262,0.6362007168458782,0.7261648745519713,0.5303703703703703,0.6146045400238949,0.06705404154099363,157,0.9304200542005421,0.8494805781391147,0.9066395663956639,0.8600271002710027,0.9308691756272401,0.8954872949267128,0.03455601743807277,0.6447368421052632,0.5394736842105263,0.6052631578947368,0.6842105263157895,0.6133333333333333,0.6174035087719297,0.04784830343473032,148,0.8547854785478548,0.768976897689769,0.801980198019802,0.7887788778877888,0.8585526315789473,0.8146148167448324,0.03592815782841664,0.68,0.6388888888888888,0.6595744680851063,0.7142857142857143,0.66,0.6705498142519419,0.025441328430387038,145,0.8505154639175257,0.8481012658227848,0.9054054054054054,0.7959183673469388,0.8663101604278075,0.8532501325840924,0.03524672284679499,0.7555555555555555,0.5111111111111111,0.6888888888888889,0.7777777777777778,0.7333333333333333,0.6933333333333334,0.09573626323794675,141,0.9166666666666666,0.7444444444444445,0.7444444444444445,0.8666666666666667,0.9,0.8344444444444445,0.07522804835471447,0.7157894736842104,0.5679012345679012,0.6739130434782609,0.7446808510638298,0.6947368421052631,0.679404288979893,0.06046996498952259,159,0.8823529411764705,0.7928994082840237,0.8170731707317074,0.8297872340425533,0.88283378746594,0.840989308340139,0.03597781857981291
77,0.002920389175415039,0.0011063398239432197,0.008733654022216797,0.0007931803601497617,gini,6,log2,2,4,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4}",0.5186379928315412,0.6096774193548387,0.710752688172043,0.7483870967741936,0.6725925925925926,0.6520095579450418,0.08092345888971657,79,0.9002710027100271,0.9222673893405601,0.9008807588075881,0.8891147244805782,0.8781137992831541,0.8981295349243815,0.014674383213929785,0.5394736842105263,0.5789473684210527,0.6447368421052632,0.7368421052631579,0.6,0.62,0.06757779962953869,145,0.7920792079207921,0.834983498349835,0.8118811881188119,0.801980198019802,0.819078947368421,0.8120006079555324,0.014666977844410995,0.6136363636363636,0.6756756756756757,0.7045454545454546,0.7272727272727273,0.7027027027027027,0.6847665847665848,0.03914545478911607,112,0.920863309352518,0.8693181818181818,0.8186528497409327,0.7830188679245284,0.8654970760233918,0.8514700569719105,0.04710259158984523,0.6,0.5555555555555556,0.6888888888888889,0.8888888888888888,0.5777777777777777,0.6622222222222222,0.12204026860218649,186,0.7111111111111111,0.85,0.8777777777777778,0.9222222222222223,0.8222222222222222,0.8366666666666667,0.0709372875533883,0.6067415730337078,0.6097560975609757,0.6966292134831461,0.7999999999999999,0.6341463414634145,0.6694546451082488,0.07283415290196164,173,0.8025078369905956,0.8595505617977528,0.8471849865951743,0.8469387755102041,0.8433048433048432,0.839897400839714,0.019486029600800966
78,0.002806282043457031,0.001164091652428605,0.00865159034729004,0.0006134378107122184,gini,6,log2,3,2,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2}",0.6021505376344086,0.6630824372759857,0.6863799283154122,0.7946236559139785,0.7766666666666666,0.7045806451612903,0.0719019228689284,2,0.9050361336946703,0.9333785004516711,0.8730578139114724,0.912330623306233,0.8935931899641577,0.9034792522656409,0.01998966648314775,0.6447368421052632,0.6842105263157895,0.6842105263157895,0.75,0.76,0.7046315789473685,0.04369296044265904,2,0.834983498349835,0.8613861386138614,0.7887788778877888,0.8184818481848185,0.8223684210526315,0.825199756817787,0.023600012739431873,0.6956521739130435,0.7333333333333333,0.7058823529411765,0.782608695652174,0.813953488372093,0.7462860088423641,0.04530394644104049,3,0.8651685393258427,0.8833333333333333,0.8295454545454546,0.8306878306878307,0.8315789473684211,0.8480628210521765,0.022150015252187304,0.7111111111111111,0.7333333333333333,0.8,0.8,0.7777777777777778,0.7644444444444444,0.03610683735393762,49,0.8555555555555555,0.8833333333333333,0.8111111111111111,0.8722222222222222,0.8777777777777778,0.86,0.026152449546532928,0.7032967032967032,0.7333333333333333,0.7500000000000001,0.7912087912087912,0.7954545454545455,0.7546586746586745,0.034970672364786334,4,0.8603351955307262,0.8833333333333333,0.8202247191011237,0.8509485094850949,0.8540540540540541,0.8537791623008664,0.02025052797539608
79,0.002581930160522461,0.0006266305327863088,0.007733821868896484,0.0007145285565612985,gini,6,log2,3,3,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3}",0.5473118279569892,0.7143369175627241,0.6383512544802867,0.7405017921146954,0.5837037037037037,0.6448410991636797,0.07385457995354615,99,0.8829042457091237,0.8751129177958447,0.894286359530262,0.8266485998193316,0.8644713261648744,0.8686846898038872,0.023167859945973958,0.5921052631578947,0.6710526315789473,0.6710526315789473,0.6578947368421053,0.6,0.638421052631579,0.03501483658627348,85,0.8217821782178217,0.8085808580858086,0.8283828382838284,0.7623762376237624,0.7960526315789473,0.8034349487580336,0.02334872489191314,0.6521739130434783,0.717391304347826,0.6851851851851852,0.6557377049180327,0.6923076923076923,0.6805591599604428,0.024239892140134604,123,0.8247422680412371,0.805,0.8106796116504854,0.7368421052631579,0.8430232558139535,0.8040574481537668,0.036080021379289666,0.6666666666666666,0.7333333333333333,0.8222222222222222,0.8888888888888888,0.6,0.7422222222222222,0.1038517461826482,66,0.8888888888888888,0.8944444444444445,0.9277777777777778,0.9333333333333333,0.8055555555555556,0.89,0.0457313680605704,0.6593406593406593,0.7252747252747253,0.7474747474747475,0.7547169811320755,0.6428571428571429,0.7059328512158701,0.04610662836787097,72,0.8556149732620321,0.8473684210526315,0.8652849740932642,0.8235294117647058,0.8238636363636364,0.8431322833072541,0.01685264043594915
80,0.0028081893920898437,0.00074966761176124,0.009128856658935546,0.0015324477082482545,gini,6,log2,3,4,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 4}",0.6078853046594982,0.6526881720430108,0.7146953405017921,0.6548387096774194,0.7018518518518518,0.6663918757467144,0.03830122873885129,45,0.9139566395663957,0.8863821138211382,0.8912149954832882,0.9152664859981933,0.8579301075268817,0.8929500684791793,0.02103256851417265,0.631578947368421,0.6447368421052632,0.6842105263157895,0.6578947368421053,0.64,0.6516842105263158,0.01836050198771803,42,0.8118811881188119,0.7986798679867987,0.8184818481848185,0.8250825082508251,0.7894736842105263,0.8087198193503561,0.012994178609760317,0.6976744186046512,0.6956521739130435,0.7441860465116279,0.7111111111111111,0.7045454545454546,0.7106338409371776,0.017637707949724253,31,0.8727272727272727,0.7692307692307693,0.8378378378378378,0.8547486033519553,0.8493975903614458,0.8367884147018563,0.035604207486891165,0.6666666666666666,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.6888888888888889,0.6977777777777778,0.017777777777777806,132,0.8,0.9444444444444444,0.8611111111111112,0.85,0.7833333333333333,0.8477777777777777,0.05650303171151608,0.6818181818181818,0.7032967032967032,0.7272727272727273,0.7111111111111111,0.6966292134831461,0.704025587396374,0.01509331401881106,76,0.8347826086956521,0.8478802992518703,0.8493150684931507,0.852367688022284,0.815028901734104,0.8398749132394123,0.01380237669017195
81,0.0,0.0,0.0,0.0,gini,8,auto,1,2,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
82,9.965896606445312e-05,0.00019931793212890625,0.0,0.0,gini,8,auto,1,3,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
83,0.0006003856658935546,0.0008011114650173678,0.0,0.0,gini,8,auto,1,4,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
84,0.0005988121032714844,0.0004889291742989185,0.0,0.0,gini,8,auto,2,2,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,217,,,,,,,
