,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,0.009594058990478516,0.0004897660956099748,0.0033979892730712892,0.0007995131830981643,10,8,linear,"{'C': 10, 'degree': 8, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
22,0.009393882751464844,0.002243570086981098,0.004397773742675781,0.00135562957934926,10,8,poly,"{'C': 10, 'degree': 8, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
23,0.008993768692016601,0.002189142663958655,0.0025981903076171876,0.0007995489614226098,10,8,sigmoid,"{'C': 10, 'degree': 8, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
24,0.007796716690063476,0.0004002863310008856,0.004795646667480469,0.0003989225080241578,15,3,rbf,"{'C': 15, 'degree': 3, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
25,0.004596519470214844,0.0004892435547139949,0.0019993305206298826,3.5040231839893024e-07,15,3,linear,"{'C': 15, 'degree': 3, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
26,0.004796791076660156,0.0007478312479403671,0.0018000602722167969,0.0004000692174217229,15,3,poly,"{'C': 15, 'degree': 3, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
27,0.007193994522094726,0.0003993790147063453,0.001999044418334961,5.761645304486548e-07,15,3,sigmoid,"{'C': 15, 'degree': 3, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
28,0.008194923400878906,0.0003991130717194912,0.00459756851196289,0.0004902974659074571,15,8,rbf,"{'C': 15, 'degree': 8, 'kernel': 'rbf'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
29,0.0049974918365478516,2.3457286598680196e-06,0.0017972946166992187,0.00039916438676156416,15,8,linear,"{'C': 15, 'degree': 8, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
30,0.004995965957641601,0.0006312034077557532,0.0017994403839111327,0.0003998757261607768,15,8,poly,"{'C': 15, 'degree': 8, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
31,0.007195663452148437,0.00040224625499905425,0.0017983436584472657,0.00039980421126566574,15,8,sigmoid,"{'C': 15, 'degree': 8, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
32,0.008592653274536132,0.0010188278449183024,0.004397296905517578,0.0004900572328027105,20,3,rbf,"{'C': 20, 'degree': 3, 'kernel': 'rbf'}",0.6,0.6105263157894737,0.6421052631578947,0.5894736842105263,0.6063829787234043,0.6096976483762597,0.01769169483701647,1
33,0.005196571350097656,0.0007479471952890311,0.0019998550415039062,2.2110029448260555e-06,20,3,linear,"{'C': 20, 'degree': 3, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
34,0.0053961753845214845,0.0004895511659165033,0.001998710632324219,1.1424206305228175e-06,20,3,poly,"{'C': 20, 'degree': 3, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
35,0.0069976806640625,0.0006316593568199304,0.0017980098724365234,0.000399399686109193,20,3,sigmoid,"{'C': 20, 'degree': 3, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
36,0.007794761657714843,0.00040073403286286166,0.004397201538085938,0.0004892589840168857,20,8,rbf,"{'C': 20, 'degree': 8, 'kernel': 'rbf'}",0.6,0.6105263157894737,0.6421052631578947,0.5894736842105263,0.6063829787234043,0.6096976483762597,0.01769169483701647,1
37,0.004598283767700195,0.0004896100364825113,0.001397991180419922,0.0004884032054309023,20,8,linear,"{'C': 20, 'degree': 8, 'kernel': 'linear'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
38,0.004596805572509766,0.0007991076849502474,0.0018000125885009766,0.0003998053202536146,20,8,poly,"{'C': 20, 'degree': 8, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
39,0.007195281982421875,0.00039778135856215153,0.002199077606201172,0.00039951830823135826,20,8,sigmoid,"{'C': 20, 'degree': 8, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6063829787234043,0.6012765957446808,0.0025531914893617285,3
