,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
39,0.00023236274719238282,0.00020650658501204796,0.0,0.0,gini,4,auto,20,15,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 15, 'n_estimators': 100}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
40,0.0006313323974609375,0.00047967938695383204,0.0,0.0,gini,4,auto,20,20,1,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 1}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
41,5.178451538085937e-05,0.00010356903076171874,0.0,0.0,gini,4,auto,20,20,5,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 5}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
42,0.00014295578002929688,0.00019141134460880072,0.0,0.0,gini,4,auto,20,20,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 10}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
43,0.00010037422180175781,0.00020074844360351562,0.0,0.0,gini,4,auto,20,20,50,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 50}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
44,0.00034775733947753904,0.0004852853917515959,0.0,0.0,gini,4,auto,20,20,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,631,,,,,,,
45,0.004537248611450195,0.0026511075174881164,0.007066965103149414,0.0016492858971965485,gini,4,sqrt,2,10,1,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1}",0.5657894736842105,0.618421052631579,0.5526315789473685,0.6052631578947368,0.6533333333333333,0.5990877192982456,0.03639078619363292,555,0.6237623762376238,0.7161716171617162,0.6798679867986799,0.6897689768976898,0.6973684210526315,0.6813878756296682,0.03117222355780743,0.7142857142857143,0.6818181818181818,0.5873015873015873,0.6829268292682927,0.6727272727272727,0.6678119170802098,0.04263923960687299,401,0.7946428571428571,0.7797619047619048,0.6680161943319838,0.7828947368421053,0.6946902654867256,0.7440011917131153,0.05207955837038474,0.4444444444444444,0.6666666666666666,0.8222222222222222,0.6222222222222222,0.8222222222222222,0.6755555555555555,0.14096668024136627,576,0.49444444444444446,0.7277777777777777,0.9166666666666666,0.6611111111111111,0.8722222222222222,0.7344444444444445,0.1517958342927828,0.5479452054794521,0.6741573033707865,0.6851851851851852,0.6511627906976744,0.7400000000000001,0.6596900969466197,0.0630374743074743,576,0.6095890410958904,0.7528735632183907,0.7728337236533956,0.7168674698795181,0.7733990147783252,0.725112562525104,0.0613077962518111
46,0.014599466323852539,0.0026527976748727047,0.008134841918945312,0.002519935537650616,gini,4,sqrt,2,10,5,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 5}",0.5526315789473685,0.6447368421052632,0.631578947368421,0.6447368421052632,0.56,0.6067368421052632,0.04151347276550866,543,0.801980198019802,0.8316831683168316,0.768976897689769,0.7458745874587459,0.7631578947368421,0.7823345492443982,0.0306487763760022,0.5964912280701754,0.6875,0.6440677966101694,0.6607142857142857,0.6071428571428571,0.6391832335074976,0.03367832577778944,595,0.7830188679245284,0.8028169014084507,0.7477477477477478,0.7248908296943232,0.7596153846153846,0.7636179462780869,0.027131631370753136,0.7555555555555555,0.7333333333333333,0.8444444444444444,0.8222222222222222,0.7555555555555555,0.7822222222222223,0.04309048762147849,445,0.9222222222222223,0.95,0.9222222222222223,0.9222222222222223,0.8777777777777778,0.918888888888889,0.02320068113091233,0.6666666666666666,0.7096774193548386,0.7307692307692307,0.7326732673267325,0.6732673267326731,0.7026107821700283,0.02792707080499417,510,0.8469387755102041,0.8702290076335878,0.8258706467661691,0.8117359413202936,0.8144329896907216,0.8338414721841951,0.022020308062392385
47,0.02961564064025879,0.00153596287062452,0.006908321380615234,0.00021939207693352005,gini,4,sqrt,2,10,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.6710526315789473,0.5789473684210527,0.7236842105263158,0.6973684210526315,0.6666666666666666,0.6675438596491228,0.04879275082516974,282,0.8316831683168316,0.8118811881188119,0.8250825082508251,0.8118811881188119,0.7664473684210527,0.8093950842452667,0.022802287968398588,0.6724137931034483,0.6274509803921569,0.6935483870967742,0.7037037037037037,0.6785714285714286,0.6751376585735024,0.02626101047030423,338,0.8146341463414634,0.7808219178082192,0.7926267281105991,0.7887323943661971,0.7534883720930232,0.7860607117439005,0.01977419477953973,0.8666666666666667,0.7111111111111111,0.9555555555555556,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.07825251938515115,221,0.9277777777777778,0.95,0.9555555555555556,0.9333333333333333,0.9,0.9333333333333333,0.01956312984628778,0.7572815533980582,0.6666666666666666,0.8037383177570094,0.7676767676767676,0.7524752475247526,0.7495677106046509,0.04517285214570162,275,0.8675324675324675,0.8571428571428571,0.8664987405541562,0.8549618320610686,0.820253164556962,0.8532778123695023,0.017241751607320947
48,0.131288480758667,0.012147533476549396,0.010195684432983399,0.0003496735803307605,gini,4,sqrt,2,10,50,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.6842105263157895,0.6447368421052632,0.7105263157894737,0.7236842105263158,0.64,0.6806315789473685,0.033762081042842874,199,0.8547854785478548,0.8382838283828383,0.7986798679867987,0.8217821782178217,0.805921052631579,0.8238904811533786,0.020613537432355288,0.6842105263157895,0.6666666666666666,0.6885245901639344,0.7068965517241379,0.6607142857142857,0.6814025241169628,0.016454196107758653,278,0.8177570093457944,0.8018433179723502,0.771689497716895,0.7971698113207547,0.784037558685446,0.7944994390082482,0.015695364832563195,0.8666666666666667,0.8,0.9333333333333333,0.9111111111111111,0.8222222222222222,0.8666666666666666,0.05067446333773946,87,0.9722222222222222,0.9666666666666667,0.9388888888888889,0.9388888888888889,0.9277777777777778,0.9488888888888889,0.017356110390903668,0.7647058823529413,0.7272727272727272,0.7924528301886792,0.7961165048543689,0.7326732673267325,0.7626442423990898,0.028853415909754675,157,0.8883248730964468,0.8765743073047859,0.8471177944862156,0.8622448979591838,0.8498727735368957,0.8648269292767056,0.015710260143824695
